,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES
106,2.2528329269034897,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-1.0482745161147082,-0.823286852114073,1.122901992772263,-1.2305519103170177,0.46697333531427326,-0.14584382346463545,2.664031063192425,0.8360543103686021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
153,1.9653677147709623,-0.2268584891753536,-0.4891078143167476,-0.2768771913258098,0.9506531277755026,0.18611435610612392,1.122901992772263,1.204577199809007,1.3673075293649286,0.645370715860133,0.6899174080170581,0.2557486807070411,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
286,-0.3691982504265309,-0.2268584891753536,2.118694513201457,0.05882924382594909,0.9506531277755026,0.33031452870900924,1.122901992772263,1.204577199809007,-1.3336950527870377,-0.3166973486658708,0.9164894322029663,0.48282479666156497,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
127,-0.3517761163578929,-1.0527995905419327,-0.4891078143167476,1.6326787677632273,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-1.4313132035501204,-1.3827970354614354,-1.80423117676004,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
841,0.2405764419757994,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.195515564326321,1.122901992772263,-0.012987355254005385,-1.3336950527870377,-0.3939882291140487,-0.38210392864034093,0.03760843042665358,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
507,-1.0399504120690943,1.4250237135578045,-0.4891078143167476,1.7662393925010238,-1.462945676283422,-1.6884878877313847,-0.8402133792072178,1.204577199809007,0.46697333531427326,0.47044924958267775,1.5248772749243866,0.07492881059510542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
624,-0.6827966636620151,-1.0527995905419327,-0.4891078143167476,1.1886799341754173,0.9506531277755026,-0.24648616170253193,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,-1.3845318811735916,-1.2862941362711413,-1.7248596640074172,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
584,-0.9528397417259042,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-1.1116871973198437,-0.8402133792072178,-0.012987355254005385,0.46697333531427326,-1.3621582052543824,-1.380699146348603,-1.7138212417040721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
17,-0.5695527922158681,-1.0527995905419327,2.118694513201457,1.0190218432922702,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,1.381668050655933,-0.03595222502298114,1.0168741804805377,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
189,-0.6740855966276961,-0.2268584891753536,-0.4891078143167476,1.351118531829494,0.9506531277755026,-0.10228598909964663,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,2.2684792052718685,2.36403292005738,1.446847011153687,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
